grid.id,decade,trials,battles,ln.trials,ln1p.trials,battles.tp1,battles.tp2,battles.tp3
1.0,1300.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1310.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1320.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1330.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1340.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1350.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1360.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1370.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1380.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1390.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1400.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1410.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1420.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1430.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1440.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1450.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1460.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1470.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1480.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1490.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1500.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1510.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1520.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1530.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1540.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1550.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1560.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1570.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1580.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1590.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1600.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1610.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1620.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
1.0,1630.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
